,Manufacturer##other##,Width##length##inches,Height##length##inches
60In x 80In,SMARTBIM,60,80
60In x 84In,SMARTBIM,60,84
60In x 96In,SMARTBIM,60,96
60In x 108In,SMARTBIM,60,108
72In x 80In,SMARTBIM,72,80
72In x 84In,SMARTBIM,72,84
72In x 96In,SMARTBIM,72,96
72In x 108In,SMARTBIM,72,108
84In x 80In,SMARTBIM,84,80
84In x 84In,SMARTBIM,84,84
84In x 96In,SMARTBIM,84,96
84In x 108In,SMARTBIM,84,108
96In x 80In,SMARTBIM,96,80
96In x 84In,SMARTBIM,96,84
96In x 96In,SMARTBIM,96,96
96In x 108In,SMARTBIM,96,108
108In x 80In,SMARTBIM,108,80
108In x 84In,SMARTBIM,108,84
108In x 96In,SMARTBIM,108,96
108In x 108In,SMARTBIM,108,108
120In x 80In,SMARTBIM,120,80
120In x 84In,SMARTBIM,120,84
120In x 96In,SMARTBIM,120,96
120In x 108In,SMARTBIM,120,108
